protein_group	eggnog_annot	diamond_annot	annotation	eggnog_proteins_annot	diamond_proteins_annot	organism_eggnog	organism_diamond	go_annotation	upd_full_annot
TRINITY_DN262_c0_g1_i10.p1_Eve;TRINITY_DN705_c1_g1_i12.p1_Ecy;NODE_500_length_7503_cov_33.396431_g327_i0.p1_Gla	PFKFB2	PREDICTED: 6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase-like isoform X2	PFKFB2	PFKFB2:1	PREDICTED: 6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase-like isoform X2:2;6-phosphofructo-2-kinase:1	Insecta	Arthropoda	PFKFB2	PFKFB2
TRINITY_DN2620_c0_g1_i18.p1_Ecy;NODE_31406_length_1499_cov_377.470345_g19115_i0.p1_Ecy;NODE_40369_length_1469_cov_416.076056_g20371_i1.p1_Gla	*	NADPH-dependent FMN reductase-like	NADPH-dependent FMN reductase-like		NADPH-dependent FMN reductase-like:1		Arthropoda	nfrA1	nfrA1
TRINITY_DN2631_c0_g1_i6.p2_Eve	*	PREDICTED: TPPP family protein CG45057-like	PREDICTED: TPPP family protein CG45057-like		PREDICTED: TPPP family protein CG45057-like:1		Arthropoda	ringer	ringer
TRINITY_DN26527_c0_g1_i1.p1_Ecy;TRINITY_DN215_c1_g1_i11.p1_Gla	KPNA2	PREDICTED: importin subunit alpha-1-like isoform X2	KPNA2	KPNA2:1;alphaKap2:1	PREDICTED: importin subunit alpha-1-like isoform X2:2	Hymenoptera	Arthropoda	KPNA2	KPNA2
TRINITY_DN2666_c0_g1_i8.p1_Eve	*	PREDICTED: uncharacterized protein LOC108664932	PREDICTED: uncharacterized protein LOC108664932		PREDICTED: uncharacterized protein LOC108664932:1		Arthropoda	*	PREDICTED: uncharacterized protein LOC108664932
TRINITY_DN3420_c0_g1_i1.p1_Ecy;TRINITY_DN26677_c1_g1_i1.p1_Eve;NODE_14118_length_2526_cov_160.211950_g9567_i0.p1_Gla;TRINITY_DN10177_c0_g1_i3.p1_Gla	Trap1	PREDICTED: heat shock protein 75 kDa, mitochondrial-like	Trap1	TRAP1:1;Trap1:3	PREDICTED: heat shock protein 75 kDa, mitochondrial-like:4	Arthropoda;Paraneoptera	Arthropoda	Trap1	Trap1
TRINITY_DN2675_c0_g1_i9.p1_Eve;TRINITY_DN2675_c0_g1_i15.p1_Eve;TRINITY_DN2445_c0_g1_i1.p1_Gla;TRINITY_DN3905_c0_g2_i4.p1_Ecy;NODE_8156_length_3364_cov_346.618401_g4785_i0.p1_Ecy	*	PREDICTED: protein msta-like	PREDICTED: protein msta-like		PREDICTED: protein msta-like:5		Arthropoda	*	PREDICTED: protein msta-like
TRINITY_DN2686_c2_g3_i1.p1_Ecy;NODE_1978_length_5758_cov_163.915922_g243_i1.p1_Ecy;TRINITY_DN5375_c0_g2_i1.p1_Gla;NODE_1334_length_5819_cov_62.896534_g885_i0.p1_Gla;TRINITY_DN12725_c1_g1_i7.p1_Gla;TRINITY_DN12725_c1_g1_i6.p1_Gla;NODE_7228_length_3349_cov_15.678182_g4772_i0.p1_Gla;TRINITY_DN227494_c0_g1_i1.p1_Gla;NODE_59014_length_1044_cov_2.941709_g42291_i0.p1_Eve	CLTC	clathrin heavy chain 1	CLTC	CLTC:7;Chc:2	PREDICTED: clathrin heavy chain 1-like:2;Clathrin heavy chain propeller repeat:1;clathrin heavy chain 1:4;clathrin heavy chain 1-like, partial:1	Bilateria;Insecta	Rotifera;Arthropoda;Mollusca	CLTC	CLTC
TRINITY_DN2687_c0_g1_i14.p1_Gla;TRINITY_DN2687_c0_g1_i4.p1_Gla	Gpdh	PREDICTED: glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic-like isoform X1	Gpdh	Gpdh:2	PREDICTED: glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic-like isoform X1:1;PREDICTED: glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic-like isoform X2:1	Nematocera	Arthropoda	Gpdh	Gpdh
TRINITY_DN26871_c0_g1_i1.p1_Eve;NODE_28730_length_1603_cov_1757.579151_g17380_i0.p1_Ecy;NODE_29628_length_1750_cov_152.981775_g21121_i0.p1_Gla;TRINITY_DN431_c3_g1_i1.p1_Gla	*	prostaglandin F synthase	prostaglandin F synthase		prostaglandin F synthase:3;aldose reductase-like:1		Arthropoda	PRXL2B	PRXL2B
TRINITY_DN2688_c0_g1_i2.p1_Eve;NODE_28229_length_1623_cov_1170.012706_g17053_i0.p1_Ecy;TRINITY_DN1589_c0_g1_i5.p1_Gla	Atp5c1	ATP synthase F1 complex gamma subunit	Atp5c1	Atp5c1:3	ATP synthase F1 complex gamma subunit:1	Insecta	Arthropoda	Atp5c1	Atp5c1
TRINITY_DN2694_c0_g1_i13.p1_Gla;NODE_4241_length_4082_cov_435.302256_g2754_i0.p1_Gla	*	PREDICTED: NADP-dependent malic enzyme-like isoform X1	PREDICTED: NADP-dependent malic enzyme-like isoform X1		PREDICTED: NADP-dependent malic enzyme-like isoform X1:2		Arthropoda	ME1	ME1
TRINITY_DN2695_c0_g1_i10.p1_Eve;TRINITY_DN2695_c0_g1_i2.p1_Eve;TRINITY_DN7943_c0_g1_i4.p1_Gla;NODE_7347_length_3329_cov_108.468598_g4855_i0.p1_Gla;TRINITY_DN7943_c0_g1_i12.p1_Gla;TRINITY_DN4643_c0_g1_i7.p1_Ecy	FTH1	PREDICTED: soma ferritin-like isoform X1	FTH1	FTH1:5;Fer3HCH:1	PREDICTED: soma ferritin-like isoform X1:4;PREDICTED: soma ferritin-like isoform X2:2	Bilateria;Arthropoda	Arthropoda	FTH1	FTH1
TRINITY_DN2699_c0_g1_i7.p1_Eve;TRINITY_DN2699_c0_g1_i3.p1_Eve;TRINITY_DN2699_c0_g1_i9.p1_Eve;TRINITY_DN2275_c0_g1_i20.p1_Ecy;NODE_208_length_10015_cov_369.686334_g64_i3.p1_Ecy;TRINITY_DN2699_c0_g1_i2.p1_Eve	Unc-89	Muscle M-line assembly protein unc-89	Unc-89	Unc-89:6	Muscle M-line assembly protein unc-89:6	Arthropoda;Insecta	Arthropoda	Unc-89	Unc-89
TRINITY_DN270_c0_g1_i9.p1_Eve;NODE_98220_length_714_cov_604.852632_g14911_i4.p1_Eve;NODE_31530_length_1495_cov_363.225450_g19194_i0.p1_Ecy;TRINITY_DN1306_c0_g1_i9.p1_Gla;TRINITY_DN1306_c0_g1_i1.p1_Gla	GstD1	PREDICTED: glutathione S-transferase 1-like	GstD1	GstD1:4	PREDICTED: glutathione S-transferase 1-like:5	Insecta	Arthropoda	GstD1	GstD1
TRINITY_DN27026_c0_g1_i9.p1_Gla	Tps1	PREDICTED: alpha,alpha-trehalose-phosphate synthase [UDP-forming]-like	Tps1	Tps1:1	PREDICTED: alpha,alpha-trehalose-phosphate synthase [UDP-forming]-like:1	Insecta	Arthropoda	Tps1	Tps1
TRINITY_DN2703_c0_g2_i4.p1_Ecy;TRINITY_DN4792_c0_g1_i2.p1_Gla;TRINITY_DN12305_c0_g1_i2.p1_Ecy;TRINITY_DN162690_c0_g1_i1.p1_Eve;NODE_94230_length_738_cov_7.071118_g73229_i0.p1_Eve;TRINITY_DN181408_c2_g1_i1.p1_Ecy;NODE_79806_length_923_cov_34.908467_g62438_i0.p1_Gla	YWHAE	14-3-3 protein epsilon	YWHAE	YWHAE:2;ftt-2:1	14-3-3 protein epsilon isoform X2:2;14-3-3 protein epsilon:3;14-3-3 protein:1;14-3-3 domain:1	Arthropoda;Rhabditida;Hymenoptera	Arthropoda	YWHAE	YWHAE
TRINITY_DN7804_c1_g2_i1.p1_Ecy;TRINITY_DN2704_c2_g1_i1.p1_Eve;NODE_72976_length_990_cov_18.428268_g56492_i0.p1_Gla;TRINITY_DN28873_c0_g1_i3.p1_Gla;NODE_11386_length_2782_cov_17.017929_g7624_i0.p1_Gla	JPH3	PREDICTED: junctophilin-1-like	JPH3	JPH3:3;JPH1:1	PREDICTED: junctophilin-1-like:2	Bilateria;Actinopterygii;Insecta	Arthropoda	JPH3	JPH3
TRINITY_DN2708_c4_g1_i1.p1_Eve;TRINITY_DN53_c1_g1_i2.p1_Ecy;TRINITY_DN4848_c0_g1_i5.p1_Gla;NODE_3184_length_4507_cov_136.046209_g2046_i0.p1_Gla	ACADVL	PREDICTED: very long-chain specific acyl-CoA dehydrogenase, mitochondrial-like	ACADVL	ACADVL:3	PREDICTED: very long-chain specific acyl-CoA dehydrogenase, mitochondrial-like:3;Acyl-CoA dehydrogenase/oxidase C-terminal:1	Actinopterygii	Arthropoda	ACADVL	ACADVL
TRINITY_DN27148_c0_g1_i6.p1_Gla;TRINITY_DN2962_c0_g1_i11.p1_Ecy	rump	PREDICTED: myelin expression factor 2-like	rump	rump:1;HNRNPM:1	PREDICTED: myelin expression factor 2-like:2	Paraneoptera	Arthropoda	rump	rump
TRINITY_DN27151_c0_g1_i1.p1_Eve;TRINITY_DN12804_c0_g1_i1.p1_Ecy;NODE_41448_length_1204_cov_115.419913_g26117_i0.p1_Ecy;TRINITY_DN21796_c0_g1_i5.p1_Gla	*	PREDICTED: peptidyl-prolyl cis-trans isomerase A2-like isoform X2	PREDICTED: peptidyl-prolyl cis-trans isomerase A2-like isoform X2		PREDICTED: peptidyl-prolyl cis-trans isomerase A2-like isoform X2:3;Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain:1		Arthropoda	FKBP4	FKBP4
TRINITY_DN27217_c0_g1_i4.p1_Eve	PHGDH	D-3-phosphoglycerate dehydrogenase-like	PHGDH	PHGDH:1	D-3-phosphoglycerate dehydrogenase-like:1	Actinopterygii	Arthropoda	PHGDH	PHGDH
TRINITY_DN274957_c0_g2_i1.p1_Eve;NODE_16337_length_2312_cov_775.585948_g10200_i0.p1_Eve	*	hemocyanin subunit 1	hemocyanin subunit 1		hemocyanin subunit 1:2		Arthropoda	KLH1	KLH1
TRINITY_DN2750_c0_g1_i7.p1_Ecy	ALDH1L2	cytosolic 10-formyltetrahydrofolate dehydrogenase-like	ALDH1L2	ALDH1L2:1	cytosolic 10-formyltetrahydrofolate dehydrogenase-like:1	Insecta	Arthropoda	ALDH1L2	ALDH1L2
TRINITY_DN2760_c0_g1_i1.p1_Eve;TRINITY_DN2760_c0_g1_i3.p1_Eve;NODE_33079_length_1537_cov_3131.823925_g16215_i2.p1_Eve;NODE_32378_length_1558_cov_3036.834990_g16215_i1.p1_Eve;TRINITY_DN826_c0_g2_i1.p1_Gla;NODE_38832_length_1503_cov_1501.128611_g1940_i2.p1_Gla	*	PREDICTED: uncharacterized protein LOC108682963	PREDICTED: uncharacterized protein LOC108682963		PREDICTED: uncharacterized protein LOC108682963:2;hypothetical protein FHG87_016756:2;PREDICTED: uncharacterized protein LOC108675789:2		Arthropoda	*	PREDICTED: uncharacterized protein LOC108682963
TRINITY_DN27621_c0_g1_i1.p1_Eve;NODE_18260_length_2183_cov_510.046392_g9024_i1.p1_Ecy;TRINITY_DN3690_c0_g1_i1.p1_Gla;NODE_7450_length_3313_cov_183.103248_g4924_i0.p1_Gla	*	PREDICTED: UDP-glucuronosyltransferase 2B19-like isoform X1	PREDICTED: UDP-glucuronosyltransferase 2B19-like isoform X1		PREDICTED: UDP-glucuronosyltransferase 2B19-like isoform X1:2;UDP-glucuronosyl/UDP-glucosyltransferase:2		Arthropoda	UGT2B19	UGT2B19
TRINITY_DN822_c0_g1_i3.p1_Eve;TRINITY_DN2771_c0_g1_i1.p1_Ecy;TRINITY_DN8811_c0_g1_i1.p1_Gla;NODE_29683_length_1748_cov_208.294291_g21168_i0.p1_Gla	boca	PREDICTED: LDLR chaperone boca-like	boca	boca:3;MESDC2:1	PREDICTED: LDLR chaperone boca-like:3;Mesoderm development candidate 2:1	Paraneoptera;Drosophilidae	Arthropoda	boca	boca
TRINITY_DN2783_c0_g1_i6.p1_Eve;TRINITY_DN2783_c0_g1_i10.p1_Eve;NODE_26325_length_1707_cov_423.651990_g15804_i0.p1_Ecy;TRINITY_DN2494_c0_g1_i2.p1_Gla;TRINITY_DN2494_c0_g1_i15.p1_Gla;NODE_5356_length_3753_cov_445.934935_g3494_i0.p1_Gla	*	PREDICTED: sialidase-like isoform X1	PREDICTED: sialidase-like isoform X1		PREDICTED: sialidase-like isoform X1:4		Arthropoda	*	PREDICTED: sialidase-like isoform X1
TRINITY_DN27879_c0_g1_i1.p1_Eve	*	PREDICTED: sucrase-isomaltase, intestinal-like isoform X1	PREDICTED: sucrase-isomaltase, intestinal-like isoform X1		PREDICTED: sucrase-isomaltase, intestinal-like isoform X1:1		Arthropoda	SI	SI
TRINITY_DN2793_c0_g1_i28.p1_Eve	*	PREDICTED: glycogen debranching enzyme-like isoform X2	PREDICTED: glycogen debranching enzyme-like isoform X2		PREDICTED: glycogen debranching enzyme-like isoform X2:1		Arthropoda	AGL	AGL
TRINITY_DN27937_c0_g2_i4.p1_Eve;TRINITY_DN16038_c0_g1_i2.p1_Ecy;TRINITY_DN40444_c0_g1_i3.p1_Gla	PyK	mitochondrial pyruvate kinase	PyK	PyK:2;PKM:1	mitochondrial pyruvate kinase:2;pyruvate kinase:1	Insecta	Arthropoda	PyK	PyK
TRINITY_DN2794_c0_g1_i6.p1_Eve;TRINITY_DN2794_c0_g1_i7.p1_Eve;TRINITY_DN2794_c0_g1_i12.p1_Eve;NODE_25580_length_1743_cov_2462.906730_g15356_i0.p1_Ecy;NODE_31871_length_1682_cov_271.558481_g22816_i0.p1_Gla;NODE_21892_length_2048_cov_553.086543_g15269_i0.p1_Gla;NODE_25502_length_1897_cov_272.305736_g17974_i0.p1_Gla;NODE_31302_length_1699_cov_276.423030_g22401_i0.p1_Gla;NODE_18955_length_2132_cov_2099.361498_g11244_i0.p1_Ecy;NODE_18956_length_2132_cov_1847.903985_g11244_i1.p1_Ecy;NODE_22775_length_2007_cov_636.889173_g15269_i1.p1_Gla;NODE_46123_length_1240_cov_640.278757_g7504_i5.p1_Eve;TRINITY_DN6731_c0_g1_i9.p1_Gla;NODE_26652_length_1693_cov_1946.123479_g16010_i0.p1_Ecy;TRINITY_DN6731_c0_g1_i12.p1_Gla;NODE_27565_length_1650_cov_2338.239225_g16626_i0.p1_Ecy;NODE_25302_length_1757_cov_2541.494145_g15198_i0.p1_Ecy;NODE_25361_length_1754_cov_2949.579472_g15238_i0.p1_Ecy;NODE_36778_length_1442_cov_515.096913_g7504_i4.p1_Eve;NODE_34224_length_1616_cov_648.126994_g11626_i5.p1_Gla	*	PREDICTED: venom metalloproteinase antarease-like TtrivMP_A	PREDICTED: venom metalloproteinase antarease-like TtrivMP_A		PREDICTED: venom metalloproteinase antarease-like TtrivMP_A:12;Peptidase M12B ADAM/reprolysin, partial:8		Arthropoda	*	PREDICTED: venom metalloproteinase antarease-like TtrivMP_A
TRINITY_DN2809_c0_g1_i6.p1_Eve;NODE_39536_length_1376_cov_139.861341_g2998_i5.p1_Eve;TRINITY_DN2809_c0_g1_i3.p1_Eve;TRINITY_DN2809_c0_g1_i1.p1_Eve	*	PREDICTED: oplophorus-luciferin 2-monooxygenase non-catalytic subunit-like	PREDICTED: oplophorus-luciferin 2-monooxygenase non-catalytic subunit-like		PREDICTED: oplophorus-luciferin 2-monooxygenase non-catalytic subunit-like:4		Arthropoda	*	PREDICTED: oplophorus-luciferin 2-monooxygenase non-catalytic subunit-like
TRINITY_DN73570_c0_g1_i3.p1_Ecy;TRINITY_DN28094_c0_g1_i1.p1_Eve;NODE_8510_length_3199_cov_31.573333_g5147_i0.p1_Eve;NODE_13824_length_2560_cov_58.492234_g69_i1.p1_Ecy;TRINITY_DN73570_c0_g1_i11.p1_Ecy;TRINITY_DN100547_c0_g1_i1.p1_Gla;NODE_15701_length_2407_cov_27.693808_g10716_i0.p1_Gla;TRINITY_DN28094_c0_g1_i5.p1_Eve	PPP2R5D	PREDICTED: serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform-like	PPP2R5D	PPP2R5D:8	PREDICTED: serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform-like:8	Actinopterygii	Arthropoda	PPP2R5D	PPP2R5D
TRINITY_DN9572_c0_g1_i17.p1_Gla;TRINITY_DN281_c0_g3_i2.p1_Ecy;TRINITY_DN46180_c0_g2_i1.p1_Eve;TRINITY_DN17283_c0_g1_i5.p1_Ecy;NODE_40636_length_1463_cov_148.690240_g29671_i0.p1_Gla;NODE_115164_length_632_cov_9.986278_g92655_i0.p1_Eve;NODE_82238_length_657_cov_8.309211_g60004_i0.p1_Ecy;TRINITY_DN66718_c1_g1_i18.p1_Gla;TRINITY_DN66718_c1_g1_i1.p1_Gla;TRINITY_DN443847_c0_g1_i1.p1_Gla;NODE_106372_length_728_cov_53.067747_g86370_i0.p1_Gla	RAB1A	ras-related protein Rab-1A	RAB1A	RAB1A:5;rab8a:1;rab10:1;RAB10:1	PREDICTED: ras-related protein Rab-1A-like:2;ras-related protein Rab-1A:3;RAB1A, member RAS oncogene family a:1;rab-1:1;PREDICTED: ras-related protein Rab-8A:1;ras-related protein Rab-8A:1;ras-related protein Rab-10:2	Bilateria;Actinopterygii;Metazoa;Vertebrata	Arthropoda;Chordata;Brachiopoda;Mollusca;Nematoda	RAB1A	RAB1A
TRINITY_DN5736_c0_g1_i1.p1_Ecy;TRINITY_DN28184_c0_g1_i1.p1_Eve;NODE_50222_length_1284_cov_838.554656_g37428_i0.p1_Gla;TRINITY_DN9429_c0_g1_i3.p1_Gla	Trip1	Eukaryotic translation initiation factor 3 subunit I	Trip1	EIF3I:1;Trip1:3	Eukaryotic translation initiation factor 3 subunit I:1;PREDICTED: eukaryotic translation initiation factor 3 subunit I-like:1	Arthropoda	Arthropoda	Trip1	Trip1
TRINITY_DN2825_c0_g1_i24.p1_Eve;TRINITY_DN2825_c0_g1_i36.p1_Eve;TRINITY_DN2825_c0_g1_i29.p1_Eve;TRINITY_DN2825_c0_g1_i5.p1_Eve;NODE_2323_length_5475_cov_459.918356_g1431_i0.p1_Ecy;TRINITY_DN3360_c0_g1_i26.p1_Ecy;NODE_3255_length_4753_cov_487.832058_g1941_i0.p1_Eve;NODE_995_length_6314_cov_251.231125_g659_i0.p1_Gla;TRINITY_DN4568_c0_g1_i21.p1_Gla;TRINITY_DN4568_c0_g1_i27.p1_Gla;NODE_18084_length_2187_cov_95.597755_g1941_i3.p1_Eve;NODE_19425_length_2103_cov_99.066212_g1941_i4.p1_Eve;NODE_68107_length_1041_cov_52.687500_g659_i4.p1_Gla;NODE_22086_length_2039_cov_48.603015_g659_i3.p1_Gla;NODE_24189_length_1860_cov_102.121480_g1941_i5.p1_Eve;NODE_15640_length_2390_cov_90.174712_g1431_i3.p1_Ecy;NODE_7707_length_3458_cov_447.627457_g1431_i2.p1_Ecy;TRINITY_DN2825_c0_g1_i25.p1_Eve;NODE_41141_length_1211_cov_209.880379_g1431_i5.p1_Ecy;NODE_42445_length_1180_cov_201.708223_g1431_i6.p1_Ecy;TRINITY_DN2825_c0_g1_i6.p1_Eve	ens	PREDICTED: protein split ends-like isoform X2	ens	ens:1	PREDICTED: protein split ends-like isoform X2:12;PREDICTED: MAP7 domain-containing protein 1-like isoform X7:3;Microtubule-associated protein 7 family:4;PREDICTED: mucin-22-like isoform X6:1;PREDICTED: mucin-22-like isoform X1:1	Hymenoptera	Arthropoda	ens	ens
TRINITY_DN2832_c0_g1_i13.p1_Eve;TRINITY_DN57824_c0_g1_i14.p1_Ecy;TRINITY_DN34932_c0_g1_i12.p1_Gla	PAFAH1B2	PREDICTED: platelet-activating factor acetylhydrolase IB subunit beta-like	PAFAH1B2	PAFAH1B2:3	PREDICTED: platelet-activating factor acetylhydrolase IB subunit beta-like:3	Actinopterygii	Arthropoda	PAFAH1B2	PAFAH1B2
TRINITY_DN2835_c0_g1_i14.p1_Eve	Fuca	alpha-L-fucosidase-like isoform X2	Fuca	Fuca:1	alpha-L-fucosidase-like isoform X2:1	Arthropoda	Arthropoda	Fuca	Fuca
TRINITY_DN2841_c2_g1_i1.p1_Gla	*	PREDICTED: putative aminopeptidase W07G4.4	PREDICTED: putative aminopeptidase W07G4.4		PREDICTED: putative aminopeptidase W07G4.4:1		Arthropoda	lap-2	lap-2
TRINITY_DN28418_c0_g2_i1.p1_Eve;TRINITY_DN243027_c0_g2_i1.p1_Gla;TRINITY_DN48775_c0_g1_i1.p1_Ecy;NODE_26514_length_1859_cov_376.534807_g18739_i0.p1_Gla;NODE_32090_length_1676_cov_7.931776_g22975_i0.p1_Gla	Rpn3	PREDICTED: probable 26S proteasome non-ATPase regulatory subunit 3	Rpn3	Rpn3:3;PSMD3:1;P4HA3:1	PREDICTED: probable 26S proteasome non-ATPase regulatory subunit 3:3;26S proteasome regulatory subunit C-terminal:1	Carnivora;Paraneoptera;Insecta	Arthropoda	Rpn3	Rpn3
TRINITY_DN2862_c0_g1_i2.p1_Ecy;TRINITY_DN2862_c0_g1_i4.p1_Ecy;TRINITY_DN2862_c0_g1_i6.p1_Ecy;TRINITY_DN12634_c2_g1_i2.p1_Eve;NODE_827_length_6619_cov_78.233029_g550_i0.p1_Gla;NODE_44961_length_1262_cov_35.292663_g30853_i0.p1_Eve;NODE_51912_length_1144_cov_37.985388_g30853_i1.p1_Eve;TRINITY_DN20883_c0_g1_i7.p1_Eve;NODE_55661_length_1088_cov_37.272377_g30853_i2.p1_Eve	*	long-chain-fatty-acid--CoA ligase 1-like	long-chain-fatty-acid--CoA ligase 1-like		long-chain-fatty-acid--CoA ligase 1-like:5;putative long-chain-fatty-acid--CoA ligase 5 isoform X2:1;AMP-binding enzyme C-terminal domain:3		Arthropoda	ACSL1	ACSL1
TRINITY_DN5440_c0_g1_i3.p1_Ecy;TRINITY_DN2871_c0_g2_i3.p1_Eve	AIMP1	PREDICTED: aminoacyl tRNA synthase complex-interacting multifunctional protein 1-like	AIMP1	AIMP1:1	PREDICTED: aminoacyl tRNA synthase complex-interacting multifunctional protein 1-like:2	Drosophilidae	Arthropoda	AIMP1	AIMP1
TRINITY_DN52_c1_g1_i21.p1_Eve;TRINITY_DN52_c1_g1_i13.p1_Eve;TRINITY_DN2877_c0_g1_i2.p1_Ecy;TRINITY_DN47945_c0_g1_i2.p1_Gla;TRINITY_DN47945_c0_g1_i1.p1_Gla	NUDC	PREDICTED: nuclear migration protein nudC-like isoform X2	NUDC	NUDC:1	PREDICTED: nuclear migration protein nudC-like isoform X2:4;PREDICTED: nuclear migration protein nudC-like isoform X1:1	Arthropoda	Arthropoda	NUDC	NUDC
TRINITY_DN28917_c0_g1_i3.p1_Eve;TRINITY_DN2092_c8_g1_i7.p1_Gla;NODE_76550_length_702_cov_17.327718_g54852_i0.p1_Ecy;TRINITY_DN67638_c0_g1_i1.p1_Ecy;TRINITY_DN16745_c0_g1_i1.p1_Ecy	*	PREDICTED: 3-hydroxyisobutyryl-CoA hydrolase, mitochondrial-like	PREDICTED: 3-hydroxyisobutyryl-CoA hydrolase, mitochondrial-like		PREDICTED: 3-hydroxyisobutyryl-CoA hydrolase, mitochondrial-like:3		Arthropoda	HIBCH	HIBCH
TRINITY_DN28991_c0_g1_i4.p1_Gla	Cht4	PREDICTED: acidic mammalian chitinase-like	Cht4	Cht4:1	PREDICTED: acidic mammalian chitinase-like:1	Arthropoda	Arthropoda	Cht4	Cht4
TRINITY_DN291138_c0_g4_i1.p1_Gla	ACADL	PREDICTED: long-chain specific acyl-CoA dehydrogenase, mitochondrial-like isoform X1	ACADL	ACADL:1	PREDICTED: long-chain specific acyl-CoA dehydrogenase, mitochondrial-like isoform X1:1	Afrotheria	Arthropoda	ACADL	ACADL
TRINITY_DN292_c0_g1_i7.p1_Ecy;TRINITY_DN292_c0_g1_i11.p1_Ecy	sul-3	PREDICTED: arylsulfatase I-like	sul-3	sul-3:1	PREDICTED: arylsulfatase I-like:1;arylsulfatase B-like:1	Arthropoda	Arthropoda	sul-3	sul-3
TRINITY_DN2929_c0_g1_i19.p1_Ecy	*	PREDICTED: hemocyanin B chain-like	PREDICTED: hemocyanin B chain-like		PREDICTED: hemocyanin B chain-like:1		Arthropoda	HCB	HCB
TRINITY_DN2931_c0_g1_i42.p1_Eve	*	PREDICTED: uncharacterized protein LOC108673703	PREDICTED: uncharacterized protein LOC108673703		PREDICTED: uncharacterized protein LOC108673703:1		Arthropoda	*	PREDICTED: uncharacterized protein LOC108673703
TRINITY_DN2931_c0_g1_i44.p1_Eve	*	PREDICTED: uncharacterized protein LOC108673703	PREDICTED: uncharacterized protein LOC108673703		PREDICTED: uncharacterized protein LOC108673703:1		Arthropoda	*	PREDICTED: uncharacterized protein LOC108673703
TRINITY_DN2944_c0_g1_i4.p1_Eve;TRINITY_DN57640_c0_g1_i2.p1_Ecy;TRINITY_DN3382_c5_g1_i14.p1_Gla	STRAP	PREDICTED: serine-threonine kinase receptor-associated protein-like	STRAP	STRAP:1	PREDICTED: serine-threonine kinase receptor-associated protein-like:3	Insecta	Arthropoda	STRAP	STRAP
TRINITY_DN29533_c1_g1_i5.p1_Eve;TRINITY_DN3580_c5_g1_i1.p1_Ecy;NODE_4054_length_4520_cov_80.117647_g2402_i0.p1_Ecy;TRINITY_DN3657_c3_g2_i7.p1_Gla	SQRDL	PREDICTED: sulfide:quinone oxidoreductase, mitochondrial-like	SQRDL	SQRDL:1	PREDICTED: sulfide:quinone oxidoreductase, mitochondrial-like:3;FAD/NAD(P)-binding domain:1	Nematocera	Arthropoda	SQRDL	SQRDL
TRINITY_DN2974_c0_g1_i21.p1_Ecy;NODE_5419_length_4045_cov_639.449199_g2427_i2.p1_Ecy	*	PREDICTED: uncharacterized protein LOC108679227	PREDICTED: uncharacterized protein LOC108679227		PREDICTED: uncharacterized protein LOC108679227:2		Arthropoda	*	PREDICTED: uncharacterized protein LOC108679227
TRINITY_DN2976_c0_g1_i8.p1_Eve;NODE_14078_length_2536_cov_340.006836_g8289_i0.p1_Ecy;TRINITY_DN6060_c0_g1_i1.p1_Gla	*	PREDICTED: beta-galactosidase-1-like protein 2	PREDICTED: beta-galactosidase-1-like protein 2		PREDICTED: beta-galactosidase-1-like protein 2:3		Arthropoda	GLB1L2	GLB1L2
TRINITY_DN298_c1_g1_i3.p1_Gla	*	PREDICTED: tubulin beta-2 chain-like	PREDICTED: tubulin beta-2 chain-like		PREDICTED: tubulin beta-2 chain-like:1		Arthropoda	tbb-2	tbb-2
TRINITY_DN29861_c0_g2_i1.p1_Ecy;TRINITY_DN5868_c0_g1_i1.p1_Gla;TRINITY_DN16820_c1_g2_i1.p1_Gla;NODE_27541_length_1822_cov_74.781726_g19519_i0.p1_Gla;NODE_24567_length_1934_cov_36.050398_g17284_i0.p1_Gla	Gdi	PREDICTED: rab GDP dissociation inhibitor alpha-like	Gdi	Gdi:5	PREDICTED: rab GDP dissociation inhibitor alpha-like:2;rab GDP dissociation inhibitor alpha, partial:1;rab gdp-dissociation inhibitor:1;rab GDP dissociation inhibitor beta-like:1	Arthropoda	Rotifera;Arthropoda	Gdi	Gdi
TRINITY_DN29882_c0_g1_i5.p1_Eve;NODE_21001_length_1996_cov_74.781715_g12530_i0.p1_Ecy	flr	PREDICTED: actin-interacting protein 1-like isoform X1	flr	flr:2	PREDICTED: actin-interacting protein 1-like isoform X1:2	Insecta	Arthropoda	flr	flr
